[dyck_boundary] a=4.00 wd=0.50 k=0 inj=uniform  s3 | unif= 0.695 hi= 0.620 lo= 0.734 | PARTIAL (103s)
[dyck_boundary] a=4.00 wd=0.50 k=0 inj=uniform  s4 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.50 k=0 inj=uniform  s5 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.50 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=4.00 wd=0.50 k=0 inj=uniform  s7 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.50 k=0 inj=uniform  s8 | unif= 0.789 hi= 0.845 lo= 0.770 | PARTIAL (103s)
[dyck_boundary] a=4.00 wd=0.50 k=0 inj=uniform  s9 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.00 wd=0.70 k=0 inj=uniform  s0 | unif= 0.737 hi= 0.728 lo= 0.751 | PARTIAL (103s)
[dyck_boundary] a=4.00 wd=0.70 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.70 k=0 inj=uniform  s2 | unif= 0.843 hi= 0.969 lo= 0.796 | PARTIAL (103s)
[dyck_boundary] a=4.00 wd=0.70 k=0 inj=uniform  s3 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=4.00 wd=0.70 k=0 inj=uniform  s4 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.70 k=0 inj=uniform  s5 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.70 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=4.00 wd=0.70 k=0 inj=uniform  s7 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.70 k=0 inj=uniform  s8 | unif= 0.730 hi= 0.710 lo= 0.743 | PARTIAL (102s)
[dyck_boundary] a=4.00 wd=0.70 k=0 inj=uniform  s9 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.00 wd=0.90 k=0 inj=uniform  s0 | unif= 0.742 hi= 0.741 lo= 0.745 | PARTIAL (103s)
[dyck_boundary] a=4.00 wd=0.90 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (104s)
[dyck_boundary] a=4.00 wd=0.90 k=0 inj=uniform  s2 | unif= 0.717 hi= 0.671 lo= 0.741 | PARTIAL (102s)
[dyck_boundary] a=4.00 wd=0.90 k=0 inj=uniform  s3 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.00 wd=0.90 k=0 inj=uniform  s4 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=0.90 k=0 inj=uniform  s5 | unif= 0.759 hi= 0.792 lo= 0.747 | PARTIAL (102s)
[dyck_boundary] a=4.00 wd=0.90 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.00 wd=0.90 k=0 inj=uniform  s7 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.00 wd=0.90 k=0 inj=uniform  s8 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.00 wd=0.90 k=0 inj=uniform  s9 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.00 wd=1.10 k=0 inj=uniform  s0 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.00 wd=1.10 k=0 inj=uniform  s1 | unif= 0.899 hi= 0.998 lo= 0.840 | PARTIAL (103s)
[dyck_boundary] a=4.00 wd=1.10 k=0 inj=uniform  s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=1.10 k=0 inj=uniform  s3 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=1.10 k=0 inj=uniform  s4 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=1.10 k=0 inj=uniform  s5 | unif= 0.846 hi= 0.943 lo= 0.806 | PARTIAL (103s)
[dyck_boundary] a=4.00 wd=1.10 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=1.10 k=0 inj=uniform  s7 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (104s)
[dyck_boundary] a=4.00 wd=1.10 k=0 inj=uniform  s8 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.00 wd=1.10 k=0 inj=uniform  s9 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=1.30 k=0 inj=uniform  s0 | unif= 0.712 hi= 0.668 lo= 0.739 | PARTIAL (102s)
[dyck_boundary] a=4.00 wd=1.30 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=1.30 k=0 inj=uniform  s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=1.30 k=0 inj=uniform  s3 | unif= 0.807 hi= 0.911 lo= 0.779 | PARTIAL (103s)
[dyck_boundary] a=4.00 wd=1.30 k=0 inj=uniform  s4 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (104s)
[dyck_boundary] a=4.00 wd=1.30 k=0 inj=uniform  s5 | unif= 0.851 hi= 0.939 lo= 0.805 | PARTIAL (102s)
[dyck_boundary] a=4.00 wd=1.30 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.00 wd=1.30 k=0 inj=uniform  s7 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.00 wd=1.30 k=0 inj=uniform  s8 | unif= 0.289 hi= 0.418 lo= 0.236 | CRUSH (103s)
[dyck_boundary] a=4.00 wd=1.30 k=0 inj=uniform  s9 | unif= 0.941 hi= 0.989 lo= 0.913 | GROK (102s)
