[m9_densify] a=2.65 wd=0.134 k=0 inj=unif b=128 B=60k s2 | unif= 0.473 hi= 0.994 | TRAP
[m9_densify] a=2.65 wd=0.134 k=0 inj=unif b=128 B=60k s3 | unif= 0.160 hi= 0.860 | CRUSH
[m9_densify] a=2.65 wd=0.134 k=0 inj=unif b=128 B=60k s4 | unif= 0.124 hi= 0.811 | CRUSH
[m9_densify] a=2.65 wd=0.134 k=0 inj=unif b=128 B=60k s5 | unif= 0.361 hi= 0.944 | TRAP
[m9_densify] a=2.65 wd=0.134 k=0 inj=unif b=128 B=60k s6 | unif= 0.543 hi= 0.999 | PARTIAL
[m9_densify] a=2.65 wd=0.134 k=0 inj=unif b=128 B=60k s7 | unif= 0.570 hi= 0.998 | PARTIAL
[m9_densify] done: 192 runs, 17833s
[m9_deeptrap] a=2.50 wd=0.300 k=0 inj=unif b=128 B=500k s0 | unif= 0.350 hi= 0.894 | CRUSH
[m9_deeptrap] a=2.50 wd=0.300 k=0 inj=unif b=128 B=500k s1 | unif= 0.473 hi= 0.955 | TRAP
[m9_deeptrap] a=2.50 wd=0.300 k=0 inj=unif b=128 B=1000k s0 | unif= 0.372 hi= 0.969 | TRAP
[m9_deeptrap] a=2.50 wd=0.300 k=0 inj=unif b=128 B=1000k s1 | unif= 0.538 hi= 0.966 | PARTIAL
[m9_deeptrap] a=2.25 wd=0.300 k=0 inj=unif b=128 B=500k s0 | unif= 0.651 hi= 0.988 | PARTIAL
[m9_deeptrap] a=2.25 wd=0.300 k=0 inj=unif b=128 B=500k s1 | unif= 0.712 hi= 0.992 | PARTIAL
[m9_deeptrap] a=2.25 wd=0.300 k=0 inj=unif b=128 B=1000k s0 | unif= 0.612 hi= 0.988 | PARTIAL
[m9_deeptrap] a=2.25 wd=0.300 k=0 inj=unif b=128 B=1000k s1 | unif= 0.797 hi= 0.992 | PARTIAL
[m9_deeptrap] done: 8 runs, 9229s
